id,process_id,company,pankou,chupan_home_rating,chupan_pankou,chupan_away_rating,instant_home_rating,instant_pankou,instant_away_rating
1,49,ManbetX,盘口1,0.89,一球/球半,1.01,0.84,一球/球半,1.06
2,49,ManbetX,盘口2,1.16,球半,0.76,1.11,球半,0.80
3,49,ManbetX,盘口3,0.60,一球,1.42,0.56,一球,1.51
4,49,Crown,盘口1,0.94,一球/球半,0.94,0.83,一球/球半,1.05
5,49,Crown,盘口2,0.66,一球,1.28,0.55,一球,1.49
6,49,Crown,盘口3,1.14,球半,0.75,1.09,球半,0.79
7,49,Bet365,盘口1,1.07,一球/球半,0.86,0.85,一球/球半,1.08
8,49,Bet365,盘口2,0.68,一球,1.15,0.50,一球,1.50
9,49,Bet365,盘口3,1.25,球半,0.62,1.08,球半,0.73
10,49,Bet365,盘口4,1.67,球半/两球,0.45,1.38,球半/两球,0.55
11,49,韦德,盘口1,0.93,一球/球半,0.98,0.86,一球/球半,1.07
12,49,韦德,盘口2,1.22,球半,0.75,1.13,球半,0.80
13,49,韦德,盘口3,0.64,一球,1.43,0.56,一球,1.59
14,49,明陞,盘口1,0.85,半球/一球,1.05,0.83,一球/球半,1.10
15,49,明陞,盘口2,1.23,球半,0.73,1.11,球半,0.82
16,49,10BET,盘口1,0.85,半球/一球,1.04,0.84,一球/球半,1.06
17,49,10BET,盘口2,0.70,一球,1.21,1.08,球半,0.79
18,49,10BET,盘口3,1.31,球半,0.65,0.63,一球,1.35
19,49,10BET,盘口4,1.60,球半/两球,0.52,1.59,球半/两球,0.53
20,49,金宝博,盘口1,1.05,一球/球半,0.85,0.84,一球/球半,1.06
21,49,金宝博,盘口2,0.70,一球,1.25,1.11,球半,0.80
22,49,金宝博,盘口3,0.60,一球,1.42,0.56,一球,1.51
23,49,12bet,盘口1,0.85,半球/一球,1.05,0.83,一球/球半,1.10
24,49,12bet,盘口2,1.23,球半,0.73,1.11,球半,0.82
25,49,利记,盘口1,1.03,一球/球半,0.87,0.85,一球/球半,1.07
26,49,利记,盘口2,1.17,球半,0.77,1.14,球半,0.79
27,49,盈禾,盘口1,1.04,一球/球半,0.85,0.84,一球/球半,1.05
28,49,盈禾,盘口2,0.70,一球,1.24,1.11,球半,0.79
29,49,盈禾,盘口3,0.60,一球,1.41,0.56,一球,1.50
30,49,盈禾,盘口4,0.60,一球,1.41,0.56,一球,1.50
31,49,18Bet,盘口1,1.03,一球/球半,0.87,0.83,一球/球半,1.07
32,49,18Bet,盘口2,0.71,一球,1.23,1.11,球半,0.79
33,49,18Bet,盘口3,0.61,一球,1.40,0.56,一球,1.51
34,50,ManbetX,盘口1,1.01,受让半球/一球,0.89,0.97,受让半球/一球,0.93
35,50,ManbetX,盘口2,0.71,受让一球,1.23,1.21,受让半球,0.72
36,50,ManbetX,盘口3,1.28,受让半球,0.68,0.68,受让一球,1.28
37,50,Crown,盘口1,1.00,受让半球/一球,0.88,0.96,受让半球/一球,0.92
38,50,Crown,盘口2,0.71,受让一球,1.20,0.66,受让一球,1.28
39,50,Crown,盘口3,1.25,受让半球,0.68,1.20,受让半球,0.71
40,50,Bet365,盘口1,0.76,受让一球,1.19,0.99,受让半球/一球,0.94
41,50,Bet365,盘口2,1.00,受让半球/一球,0.80,1.15,受让半球,0.68
42,50,Bet365,盘口3,0.55,受让一球/球半,1.38,0.62,受让一球,1.25
43,50,Bet365,盘口4,0.43,受让球半,1.75,0.47,受让一球/球半,1.60
44,50,韦德,盘口1,1.00,受让半球/一球,0.90,0.97,受让半球/一球,0.94
45,50,韦德,盘口2,0.70,受让一球,1.28,1.26,受让半球,0.71
46,50,韦德,盘口3,1.31,受让半球,0.70,0.67,受让一球,1.33
47,50,明陞,盘口1,0.95,受让一球,0.95,0.98,受让半球/一球,0.94
48,50,明陞,盘口2,0.67,受让一球,1.33,0.70,受让一球,1.28
49,50,10BET,盘口1,0.95,受让一球,0.95,0.97,受让半球/一球,0.93
50,50,10BET,盘口2,1.27,受让半球/一球,0.67,1.17,受让半球,0.72
51,50,10BET,盘口3,0.66,受让一球/球半,1.29,1.23,受让半球,0.69
52,50,10BET,盘口4,0.52,受让一球/球半,1.62,0.52,受让一球/球半,1.61
53,50,金宝博,盘口1,0.95,受让一球,0.95,0.97,受让半球/一球,0.93
54,50,金宝博,盘口2,0.73,受让一球,1.20,1.21,受让半球,0.72
55,50,金宝博,盘口3,1.26,受让半球,0.69,0.68,受让一球,1.28
56,50,12bet,盘口1,0.95,受让一球,0.95,0.98,受让半球/一球,0.94
57,50,12bet,盘口2,0.67,受让一球,1.33,0.70,受让一球,1.28
58,50,利记,盘口1,0.92,受让一球,0.98,0.99,受让半球/一球,0.93
59,50,利记,盘口2,0.67,受让一球,1.33,0.67,受让一球,1.33
60,50,盈禾,盘口1,0.84,受让一球,1.05,0.97,受让半球/一球,0.92
61,50,盈禾,盘口2,0.73,受让一球,1.19,1.21,受让半球,0.71
62,50,盈禾,盘口3,1.26,受让半球,0.68,0.67,受让一球,1.28
63,50,盈禾,盘口4,0.67,受让一球,1.28,0.67,受让一球,1.28
64,50,18Bet,盘口1,0.73,受让一球,1.21,0.97,受让半球/一球,0.92
65,50,18Bet,盘口2,0.72,受让一球,1.22,1.21,受让半球,0.72
66,50,18Bet,盘口3,1.26,受让半球,0.69,0.68,受让一球,1.30
67,51,ManbetX,盘口1,0.88,半球,1.02,0.85,半球,1.05
68,51,ManbetX,盘口2,1.16,半球/一球,0.76,1.12,半球/一球,0.79
69,51,Crown,盘口1,1.14,半球/一球,0.75,0.85,半球,1.03
70,51,Crown,盘口2,1.14,半球/一球,0.75,1.11,半球/一球,0.78
71,51,Bet365,盘口1,0.92,半球,1.01,0.88,半球,1.05
72,51,Bet365,盘口2,0.60,平手/半球,1.30,0.57,平手/半球,1.35
73,51,Bet365,盘口3,1.10,半球/一球,0.70,1.08,半球/一球,0.73
74,51,Bet365,盘口4,1.67,一球,0.45,1.60,一球,0.47
75,51,韦德,盘口1,0.90,半球,1.02,0.89,半球,1.03
76,51,韦德,盘口2,1.20,半球/一球,0.76,1.17,半球/一球,0.77
77,51,韦德,盘口3,0.64,平手/半球,1.42,0.63,平手/半球,1.42
78,51,明陞,盘口1,1.09,半球/一球,0.82,0.87,半球,1.03
79,51,10BET,盘口1,1.08,半球/一球,0.83,0.87,半球,1.03
80,51,10BET,盘口2,1.09,半球/一球,0.78,1.14,半球/一球,0.74
81,51,10BET,盘口3,0.61,平手/半球,1.39,0.61,平手/半球,1.39
82,51,10BET,盘口4,1.76,一球,0.47,1.76,一球,0.47
83,51,金宝博,盘口1,1.17,半球/一球,0.75,0.85,半球,1.05
84,51,金宝博,盘口2,1.16,半球/一球,0.76,1.12,半球/一球,0.79
85,51,金宝博,盘口3,0.95,平手,0.95,0.95,平手,0.95
86,51,12bet,盘口1,1.09,半球/一球,0.82,0.87,半球,1.03
87,51,利记,盘口1,0.85,半球,1.05,0.86,半球,1.04
88,51,盈禾,盘口1,1.16,半球/一球,0.75,0.86,半球,1.03
89,51,盈禾,盘口2,1.16,半球/一球,0.75,1.12,半球/一球,0.78
90,51,盈禾,盘口3,1.12,半球/一球,0.78,1.12,半球/一球,0.78
91,51,18Bet,盘口1,1.11,半球/一球,0.80,0.85,半球,1.03
92,51,18Bet,盘口2,1.12,半球/一球,0.79,1.12,半球/一球,0.79
93,52,ManbetX,盘口1,0.87,球半,1.03,0.87,球半,1.03
94,52,ManbetX,盘口2,1.11,球半/两球,0.80,1.11,球半/两球,0.80
95,52,Crown,盘口1,0.88,球半,1.00,0.86,球半,1.02
96,52,Crown,盘口2,1.12,球半/两球,0.77,1.09,球半/两球,0.79
