id,process_id,company,pankou,chupan_bigball_rating,chupan_pankou,chupan_smallball_rating,instant_bigball_rating,instant_pankou,instant_smallball_rating
1,49,ManbetX,盘口1,0.92,2/2.5,0.98,0.91,2/2.5,0.99
2,49,ManbetX,盘口2,1.17,2.5,0.75,1.19,2.5,0.74
3,49,ManbetX,盘口3,0.64,2,1.35,0.63,2,1.36
4,49,Crown,盘口1,0.85,2/2.5,1.01,0.91,2/2.5,0.95
5,49,Crown,盘口2,1.12,2.5,0.75,0.62,2,1.31
6,49,Crown,盘口3,1.17,2.5,0.71,1.14,2.5,0.73
7,49,Bet365,盘口1,0.93,2/2.5,0.97,0.92,2/2.5,0.98
8,49,韦德,盘口1,0.85,2/2.5,1.05,0.92,2/2.5,0.95
9,49,韦德,盘口2,1.12,2.5,0.80,1.20,2.5,0.73
10,49,韦德,盘口3,0.60,2,1.50,0.65,2,1.35
11,49,明陞,盘口1,0.90,2/2.5,1.00,0.91,2/2.5,0.99
12,49,明陞,盘口2,1.27,2.5,0.69,1.20,2.5,0.73
13,49,10BET,盘口1,0.87,2/2.5,0.98,0.90,2/2.5,0.95
14,49,10BET,盘口2,1.09,2.5,0.74,1.16,2.5,0.69
15,49,10BET,盘口3,0.57,2,1.42,0.57,2,1.42
16,49,10BET,盘口4,1.44,2.5/3,0.55,1.44,2.5/3,0.56
17,49,金宝博,盘口1,0.90,2/2.5,1.00,0.91,2/2.5,0.99
18,49,金宝博,盘口2,1.14,2.5,0.77,1.19,2.5,0.74
19,49,金宝博,盘口3,0.64,2,1.35,0.63,2,1.36
20,49,12bet,盘口1,0.90,2/2.5,1.00,0.91,2/2.5,0.99
21,49,12bet,盘口2,1.27,2.5,0.69,1.20,2.5,0.73
22,49,利记,盘口1,0.94,2/2.5,0.96,0.94,2/2.5,0.96
23,49,利记,盘口2,1.23,2.5,0.71,1.23,2.5,0.71
24,49,盈禾,盘口1,0.91,2/2.5,0.96,0.92,2/2.5,0.95
25,49,盈禾,盘口2,1.14,2.5,0.74,1.16,2.5,0.73
26,49,盈禾,盘口3,0.64,2,1.30,0.63,2,1.32
27,49,盈禾,盘口4,0.63,2,1.32,0.63,2,1.32
28,49,18Bet,盘口1,0.92,2/2.5,0.98,0.91,2/2.5,0.97
29,49,18Bet,盘口2,1.19,2.5,0.72,1.21,2.5,0.73
30,49,18Bet,盘口3,0.64,2,1.31,0.63,2,1.36
31,49,立博,盘口1,0.50,2.5,1.50,1.20,2.5,0.67
