id,home_id,visiting_id,home_team,visiting_team,competition_time,result,type,create_time,update_time
49,1,2,俄罗斯,沙特阿拉伯,2018-06-14 23:00:00,-,小组赛,2018/4/16 09:40:29,2018/4/16 09:40:29
50,3,4,埃及,乌拉圭,2018-06-15 20:00:00,-,小组赛,2018/3/12 14:59:10,2018/3/12 14:59:10
51,1,3,俄罗斯,埃及,2018-06-20 02:00:00,-,小组赛,2018/3/12 14:59:10,2018/3/12 14:59:10
52,4,2,乌拉圭,沙特阿拉伯,2018-06-20 23:00:00,-,小组赛,2018/4/16 09:40:31,2018/4/16 09:40:31
53,2,3,沙特阿拉伯,埃及,2018-06-25 22:00:00,-,小组赛,2018/4/16 09:40:36,2018/4/16 09:40:36
54,1,4,俄罗斯,乌拉圭,2018-06-25 22:00:00,-,小组赛,2018/3/12 14:59:10,2018/3/12 14:59:10
55,8,7,摩洛哥,伊朗,2018-06-15 23:00:00,-,小组赛,2018/4/16 11:23:54,2018/4/16 11:23:54
56,5,6,葡萄牙,西班牙,2018-06-16 02:00:00,-,小组赛,2018/3/12 14:59:10,2018/3/12 14:59:10
57,5,8,葡萄牙,摩洛哥,2018-06-20 20:00:00,-,小组赛,2018/4/16 11:23:59,2018/4/16 11:23:59
58,7,6,伊朗,西班牙,2018-06-21 02:00:00,-,小组赛,2018/4/16 11:23:41,2018/4/16 11:23:41
59,7,5,伊朗,葡萄牙,2018-06-26 02:00:00,-,小组赛,2018/4/16 11:23:49,2018/4/16 11:23:49
60,6,8,西班牙,摩洛哥,2018-06-26 02:00:00,-,小组赛,2018/4/16 11:24:03,2018/4/16 11:24:03
61,10,12,法国,澳大利亚,2018-06-16 18:00:00,-,小组赛,2018/4/16 11:26:45,2018/4/16 11:26:45
62,11,9,秘鲁,丹麦,2018-06-16 23:59:00,-,小组赛,2018/4/16 11:24:28,2018/4/16 11:24:28
63,9,12,丹麦,澳大利亚,2018-06-21 20:00:00,-,小组赛,2018/4/16 11:26:48,2018/4/16 11:26:48
64,10,11,法国,秘鲁,2018-06-21 23:00:00,-,小组赛,2018/4/16 11:25:24,2018/4/16 11:25:24
65,12,11,澳大利亚,秘鲁,2018-06-26 22:00:00,-,小组赛,2018/4/16 11:26:50,2018/4/16 11:26:50
66,9,10,丹麦,法国,2018-06-26 22:00:00,-,小组赛,2018/4/16 11:26:16,2018/4/16 11:26:16
67,14,13,阿根廷,冰岛,2018-06-16 21:00:00,-,小组赛,2018/4/16 11:27:49,2018/4/16 11:27:49
68,15,16,克罗地亚,尼日利亚,2018-06-17 03:00:00,-,小组赛,2018/3/12 14:59:10,2018/3/12 14:59:10
69,14,15,阿根廷,克罗地亚,2018-06-22 02:00:00,-,小组赛,2018/4/16 11:27:57,2018/4/16 11:27:57
70,16,13,尼日利亚,冰岛,2018-06-22 23:00:00,-,小组赛,2018/4/16 11:27:17,2018/4/16 11:27:17
71,13,15,冰岛,克罗地亚,2018-06-27 02:00:00,-,小组赛,2018/4/16 11:29:40,2018/4/16 11:29:40
72,16,14,尼日利亚,阿根廷,2018-06-27 02:00:00,-,小组赛,2018/4/16 11:29:28,2018/4/16 11:29:28
73,20,17,哥斯达黎加,塞尔维亚,2018-06-17 20:00:00,-,小组赛,2018/4/16 11:31:47,2018/4/16 11:31:47
74,19,18,巴西,瑞士,2018-06-18 02:00:00,-,小组赛,2018/4/16 11:30:51,2018/4/16 11:30:51
75,19,20,巴西,哥斯达黎加,2018-06-22 20:00:00,-,小组赛,2018/4/16 11:31:38,2018/4/16 11:31:38
76,17,18,塞尔维亚,瑞士,2018-06-23 02:00:00,-,小组赛,2018/4/16 11:31:20,2018/4/16 11:31:20
77,17,19,塞尔维亚,巴西,2018-06-28 02:00:00,-,小组赛,2018/4/16 11:31:24,2018/4/16 11:31:24
78,18,20,瑞士,哥斯达黎加,2018-06-28 02:00:00,-,小组赛,2018/4/16 11:31:44,2018/4/16 11:31:44
79,22,23,德国,墨西哥,2018-06-17 23:00:00,-,小组赛,2018/4/16 11:33:48,2018/4/16 11:33:48
80,21,24,瑞典,韩国,2018-06-18 20:00:00,-,小组赛,2018/4/16 11:32:14,2018/4/16 11:32:14
81,24,23,韩国,墨西哥,2018-06-23 23:00:00,-,小组赛,2018/4/16 11:32:39,2018/4/16 11:32:39
82,22,21,德国,瑞典,2018-06-24 02:00:00,-,小组赛,2018/4/16 11:33:26,2018/4/16 11:33:26
83,24,22,韩国,德国,2018-06-27 22:00:00,-,小组赛,2018/4/16 11:33:31,2018/4/16 11:33:31
84,23,21,墨西哥,瑞典,2018-06-27 22:00:00,-,小组赛,2018/4/16 11:32:34,2018/4/16 11:32:34
85,25,27,比利时,巴拿马,2018-06-18 23:00:00,-,小组赛,2018/4/16 11:34:13,2018/4/16 11:34:13
86,28,26,突尼斯,英格兰,2018-06-19 02:00:00,-,小组赛,2018/4/16 11:34:57,2018/4/16 11:34:57
87,25,28,比利时,突尼斯,2018-06-23 20:00:00,-,小组赛,2018/4/16 11:34:20,2018/4/16 11:34:20
88,26,27,英格兰,巴拿马,2018-06-24 20:00:00,-,小组赛,2018/4/16 11:34:35,2018/4/16 11:34:35
89,26,25,英格兰,比利时,2018-06-29 02:00:00,-,小组赛,2018/4/16 11:34:41,2018/4/16 11:34:41
90,27,28,巴拿马,突尼斯,2018-06-29 02:00:00,-,小组赛,2018/4/16 11:34:30,2018/4/16 11:34:30
91,30,32,哥伦比亚,日本,2018-06-19 20:00:00,-,小组赛,2018/4/16 11:35:58,2018/4/16 11:35:58
92,29,31,波兰,塞内加尔,2018-06-19 23:00:00,-,小组赛,2018/4/16 11:35:45,2018/4/16 11:35:45
93,32,31,日本,塞内加尔,2018-06-24 23:00:00,-,小组赛,2018/4/16 11:35:05,2018/4/16 11:35:05
94,29,30,波兰,哥伦比亚,2018-06-25 02:00:00,-,小组赛,2018/4/16 11:35:53,2018/4/16 11:35:53
95,32,29,日本,波兰,2018-06-28 22:00:00,-,小组赛,2018/3/12 14:59:10,2018/3/12 14:59:10
96,31,30,塞内加尔,哥伦比亚,2018-06-28 22:00:00,-,小组赛,2018/4/16 11:35:49,2018/4/16 11:35:49
