id,process_id,company,home_win_odds,draw_odds,guest_win_odds,home_win_rating,draw_rating,guest_win_rating,returned_rating,kaili_index1,kaili_index2,kaili_index3,change_time
1,49,ManbetX,1.33,4.80,11.00,71.53,19.82,8.65,95.14,0.95,0.96,0.97,2018/2/5 21:54:00
2,49,bet 365(英国),1.30,4.75,12.00,72.36,19.80,7.84,94.07,0.93,0.95,1.06,2017/12/15 16:41:00
3,49,威廉希尔(英国),1.30,4.75,10.00,71.24,19.50,9.26,92.61,0.93,0.95,0.88,2018/3/2 17:10:00
4,49,立博(英国),1.33,4.33,11.00,70.02,21.51,8.47,93.13,0.95,0.86,0.97,2018/3/13 21:05:00
5,49,bet-at-home(马尔他),1.34,4.45,9.86,69.59,20.95,9.46,93.25,0.95,0.89,0.87,2018/1/17 02:40:00
6,49,伟德(直布罗陀),1.30,4.75,11.50,72.11,19.74,8.15,93.75,0.93,0.95,1.01,2018/3/11 16:03:00
7,49,10BET(英国),1.30,4.90,12.25,72.92,19.35,7.74,94.79,0.93,0.98,1.08,2018/3/13 21:21:00
8,49,12BET(菲律宾),1.32,4.60,10.00,70.47,20.22,9.30,93.03,0.94,0.92,0.88,2018/2/26 11:37:00
9,49,18Bet,1.33,4.70,10.50,70.94,20.07,8.99,94.35,0.95,0.94,0.93,2018/3/14 16:41:00
10,49,Bwin(奥地利),1.36,5.00,8.75,70.06,19.06,10.89,95.28,0.97,1.00,0.77,2017/12/5 15:01:00
11,49,Centrebet(澳大利亚),1.33,4.60,8.50,69.18,20.00,10.82,92.00,0.95,0.92,0.75,2018/2/6 09:42:00
12,49,Coral(英国),1.33,4.33,11.00,70.02,21.51,8.47,93.13,0.95,0.86,0.97,2017/12/21 09:14:00
13,49,Crown,1.33,4.80,11.00,71.53,19.82,8.65,95.14,0.95,0.96,0.97,2018/2/5 22:03:00
14,49,Expekt([瑞典),1.33,4.80,10.00,70.92,19.65,9.43,94.32,0.95,0.96,0.88,2018/1/4 09:45:00
15,49,Nordicbet(马恩岛),1.34,5.15,11.50,72.64,18.90,8.46,97.33,0.95,1.03,1.01,2018/3/9 20:22:00
16,49,Oddset(德国),1.25,4.50,10.00,71.29,19.80,8.91,89.11,0.89,0.90,0.88,2018/1/14 20:16:00
17,49,Pinnacle(荷兰),1.32,5.09,13.70,73.76,19.13,7.11,97.37,0.94,1.01,1.21,2018/2/27 18:17:00
18,49,博天堂(瓦努阿图),1.36,5.00,8.75,70.06,19.06,10.89,95.28,0.97,1.00,0.77,2017/12/20 09:21:00
19,49,金宝博(马恩岛),1.33,4.80,11.00,71.53,19.82,8.65,95.14,0.95,0.96,0.97,2018/2/5 21:53:00
20,49,利记sbobet(英国),1.32,4.70,9.00,70.05,19.67,10.27,92.47,0.94,0.94,0.79,2018/2/6 20:25:00
21,49,明陞(菲律宾),1.32,4.60,10.00,70.47,20.22,9.30,93.03,0.94,0.92,0.88,2018/2/26 11:36:00
22,49,盈禾(菲律宾),1.33,4.80,11.00,71.53,19.82,8.65,95.14,0.95,0.96,0.97,2018/2/5 22:02:00
23,49,BETDAQ(爱尔兰),1.33,4.30,11.00,69.92,21.63,8.45,92.99,0.95,0.86,0.97,2018/3/14 07:16:00
24,49,Betfair(英国),1.33,4.90,8.80,70.30,19.08,10.62,93.49,0.95,0.98,0.78,2018/3/13 23:03:00
25,49,Betsson(瑞典),1.34,5.15,11.50,72.64,18.90,8.46,97.33,0.95,1.03,1.01,2018/3/9 20:22:00
26,49,乐天堂(菲律宾),1.32,4.60,10.00,70.47,20.22,9.30,93.03,0.94,0.92,0.88,2017/2/26 12:03:00
27,49,马博(荷属安的列斯群岛),1.34,5.20,13.50,73.69,18.99,7.31,98.75,0.95,1.04,1.19,2018/2/15 01:10:00
28,49,优胜客(马耳他),1.30,5.10,13.00,73.81,18.81,7.38,95.95,0.93,1.02,1.15,2018/3/10 00:55:00
29,49,1Bet(直布罗陀),1.32,4.90,10.00,71.36,19.22,9.42,94.19,0.94,0.98,0.88,2018/3/14 15:20:00
30,49,1xBet,1.35,5.20,13.00,73.34,19.04,7.62,99.01,0.96,1.04,1.15,2018/2/14 09:13:00
31,49,5 Dimes(哥斯达黎加),1.32,5.10,13.65,73.77,19.09,7.13,97.38,0.94,1.02,1.20,2017/3/12 15:49:00
32,49,888Sport(直布罗陀),1.30,5.00,12.00,73.08,19.00,7.92,95.01,0.93,1.00,1.06,2018/3/9 20:22:00
33,49,ArtemisBet,1.25,4.50,10.00,71.29,19.80,8.91,89.11,0.89,0.90,0.88,2017/12/22 09:27:00
34,49,Bet3000(英国),1.32,4.80,11.00,71.68,19.71,8.60,94.62,0.94,0.96,0.97,2018/2/21 16:13:00
