,Unnamed: 0,Unnamed: 0.1,id,team_id,team_name,home_team,visiting_team,type,time,result,foul,yellow_card,red_card,possession,shot,pass,pass_rate,most,score,create_time,update_time,year,home_rank,visiting_rank
0,0,0,74,1,俄罗斯,俄罗斯,西班牙,国际友谊,2017/11/15 02:45:00,3-3,16,0,0,0.37,11(5),0(0),0.0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22,2017,64,6
1,1,1,75,1,俄罗斯,俄罗斯,阿根廷,国际友谊,2017/11/11 21:00:00,0-1,13,0,0,0.33,3(1),0(0),0.0,0,2,2018/3/9 09:42:22,2018/3/9 09:42:22,2017,64,4
2,2,2,76,1,俄罗斯,俄罗斯,伊朗,国际友谊,2017/10/10 23:59:00,1-1,16,0,0,0.63,10(6),0(0),0.0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22,2017,64,32
3,3,3,77,1,俄罗斯,俄罗斯,韩国,国际友谊,2017/10/7 22:00:00,4-2,13,2,0,0.48,7(5),0(0),0.0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22,2017,64,60
4,4,4,78,1,俄罗斯,俄罗斯,莫斯科迪纳摩,球会友谊,2017/9/3 22:30:00,3-0,0,0,0,0.48,12(4),0(0),0.0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22,2017,64,0
5,5,5,79,1,俄罗斯,俄罗斯,墨西哥,洲际杯,2017/6/24 23:00:00,1-2,20,5,1,0.4,10(2),0(0),0.0,0,0,2018/3/9 09:42:22,2018/3/9 09:42:22,2017,64,16
6,6,6,80,1,俄罗斯,俄罗斯,葡萄牙,洲际杯,2017/6/21 23:00:00,0-1,13,3,0,0.49,7(0),0(0),0.0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22,2017,64,3
7,7,7,81,1,俄罗斯,俄罗斯,新西兰,洲际杯,2017/6/17 23:00:00,2-0,14,0,0,0.53,13(5),0(0),0.0,0,12,2018/3/9 09:42:22,2018/3/9 09:42:22,2017,64,121
8,8,8,82,1,俄罗斯,俄罗斯,智利,国际友谊,2017/6/9 23:59:00,1-1,16,1,0,0.39,8(4),0(0),0.0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22,2017,64,10
9,9,9,83,1,俄罗斯,匈牙利,俄罗斯,国际友谊,2017/6/6 02:30:00,0-3,19,2,0,0.37,8(4),0(0),0.0,0,1,2018/3/9 09:42:22,2018/3/9 09:42:22,2017,53,64
10,10,10,84,1,俄罗斯,俄罗斯,比利时,国际友谊,2017/3/28 23:59:00,3-3,12,0,0,0.34,9(4),0(0),0.0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22,2017,64,5
11,11,11,85,1,俄罗斯,俄罗斯,科特迪瓦,国际友谊,2017/3/24 23:59:00,0-2,15,1,0,0.55,12(4),0(0),0.0,0,8,2018/3/9 09:42:22,2018/3/9 09:42:22,2017,64,0
12,12,12,86,1,俄罗斯,俄罗斯,罗马尼亚,国际友谊,2016/11/15 23:59:00,1-0,7,0,0,0.5,11(4),0(0),0.0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22,2016,56,39
13,13,13,87,1,俄罗斯,卡塔尔,俄罗斯,国际友谊,2016/11/10 23:59:00,2-1,13,0,0,0.53,9(3),0(0),0.0,0,5,2018/3/9 09:42:22,2018/3/9 09:42:22,2016,87,56
14,14,14,88,1,俄罗斯,俄罗斯,哥斯达黎加,国际友谊,2016/10/9 21:00:00,3-4,12,1,0,0.51,10(7),0(0),0.0,0,7,2018/3/9 09:42:22,2018/3/9 09:42:22,2016,56,17
15,15,15,89,1,俄罗斯,俄罗斯,加纳,国际友谊,2016/9/6 23:59:00,1-0,16,1,0,0.44,11(5),0(0),0.0,0,2,2018/3/9 09:42:22,2018/3/9 09:42:22,2016,56,53
16,16,16,90,1,俄罗斯,土耳其,俄罗斯,国际友谊,2016/9/1 02:30:00,0-0,13,1,0,0.43,6(2),0(0),0.0,0,1,2018/3/9 09:42:22,2018/3/9 09:42:22,2016,24,56
17,17,17,91,1,俄罗斯,俄罗斯,威尔士,欧洲杯,2016/6/21 03:00:00,0-3,9,1,0,0.51,12(3),435(356),0.82,1,4,2018/3/9 09:42:22,2018/3/9 09:42:22,2016,56,12
18,18,18,92,1,俄罗斯,俄罗斯,斯洛伐克,欧洲杯,2016/6/15 21:00:00,1-2,8,0,0,0.65,15(2),557(474),0.85,1,6,2018/3/9 09:42:22,2018/3/9 09:42:22,2016,56,25
19,19,19,93,1,俄罗斯,英格兰,俄罗斯,欧洲杯,2016/6/12 03:00:00,1-1,16,1,0,0.46,6(2),413(319),0.77,1,4,2018/3/9 09:42:22,2018/3/9 09:42:22,2016,13,56
20,20,20,94,1,俄罗斯,塞尔维亚,俄罗斯,国际友谊,2016/6/5 23:59:00,1-1,14,0,0,0.54,9(5),0(0),0.0,0,4,2018/3/9 09:42:22,2018/3/9 09:42:22,2016,44,56
21,21,21,95,1,俄罗斯,捷克,俄罗斯,国际友谊,2016/6/1 23:59:00,2-1,12,0,0,0.58,7(4),0(0),0.0,0,3,2018/3/9 09:42:22,2018/3/9 09:42:22,2016,43,56
22,22,22,96,1,俄罗斯,法国,俄罗斯,国际友谊,2016/3/30 03:00:00,4-2,16,3,0,0.45,3(2),434(348),0.8,1,1,2018/3/9 09:42:22,2018/3/9 09:42:22,2016,7,56
23,23,23,97,1,俄罗斯,俄罗斯,立陶宛,国际友谊,2016/3/26 23:59:00,3-0,7,1,0,0.63,10(4),0(0),0.0,0,6,2018/3/9 09:42:22,2018/3/9 09:42:22,2016,56,105
24,24,24,98,1,俄罗斯,俄罗斯,克罗地亚,国际友谊,2015/11/17 23:59:00,1-3,0,0,0,0.0,0(0),0(0),0.0,0,2,2018/3/9 09:42:22,2018/3/9 09:42:22,2015,24,18
25,25,25,99,1,俄罗斯,俄罗斯,葡萄牙,国际友谊,2015/11/14 22:00:00,1-0,0,1,0,0.0,0(0),0(0),0.0,0,6,2018/3/9 09:42:22,2018/3/9 09:42:22,2015,24,7
26,26,26,100,1,俄罗斯,俄罗斯,黑山,欧洲杯,2015/10/12 23:59:00,2-0,5,0,0,0.69,16(7),0(0),0.0,0,5,2018/3/9 09:42:22,2018/3/9 09:42:22,2015,24,85
27,27,27,101,1,俄罗斯,摩尔多瓦,俄罗斯,欧洲杯,2015/10/10 02:45:00,1-2,9,2,0,0.62,15(6),0(0),0.0,0,7,2018/3/9 09:42:22,2018/3/9 09:42:22,2015,155,24
